1 ,1,hypertensive disease
2 ,1,diabetes
3 ,1,pneumonia
4 ,1,anemia
5 ,1,cellulitis
6 ,2,arthritis
7 ,2,gastritis
8 ,2,sickle cell anemia
9 ,2,hepatitis B
10,2,kidney disease
11,3,decubitus ulcer
12,3,affect labile
13,3,accident cerebrovascular
14,3,ileus
15,3,transient ischemic attack
16,4,lymphatic diseases
17,4,malignant neoplasm of breast
18,4,bacteremia
19,4,upper respiratory infection
20,4,hypoglycemia
21,5,hepatitis B
22,5,lymphoma
23,5,malignant tumor of colon
24,5,thrombus
25,5,influenza
